"","cutoff_index","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"1",0.99998045,50,50,50,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0
"2",0.99997807,50,50,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0
"3",0.9999759,50,50,49,49,50,50,50,50,50,50,50,50,49,50,50,50,50,50,50,50,0
"4",0.9999745,50,50,49,49,50,50,50,50,50,50,50,50,49,50,50,50,50,50,50,50,1
"5",0.99997437,50,50,49,48,50,50,50,50,50,50,50,50,49,50,50,50,50,50,50,50,1
"6",0.9999739,50,50,47,48,50,50,50,50,50,50,50,50,49,50,50,50,50,50,50,50,1
"7",0.9999739,50,50,47,48,50,50,50,50,50,50,50,50,49,50,50,50,50,50,50,50,1
"8",0.9999734,50,50,47,48,50,50,50,50,50,50,50,50,48,50,50,50,50,50,50,50,1
"9",0.99997115,50,50,46,48,50,50,50,50,50,50,50,50,48,50,50,50,50,50,50,50,1
"10",0.9999703,50,50,45,48,50,50,50,50,50,50,50,50,48,50,50,50,50,50,50,50,1
"11",0.99996924,50,50,45,48,50,50,50,50,50,50,50,50,48,50,50,50,50,50,50,50,2
"12",0.99996686,50,50,45,47,50,50,50,50,50,50,50,50,48,50,50,50,50,50,50,50,2
"13",0.9999666,50,50,45,46,50,50,50,50,50,50,50,50,48,50,50,50,50,50,50,50,2
"14",0.9999654,50,50,45,45,50,50,50,50,50,50,50,50,48,50,50,50,50,50,50,50,2
"15",0.9999652,50,50,45,45,50,50,50,50,50,50,50,50,48,50,50,50,50,50,50,50,3
"16",0.999962,50,50,45,45,50,50,50,50,50,50,50,50,48,50,50,50,50,50,50,50,4
"17",0.99995947,50,50,45,45,50,50,50,50,49,50,50,50,48,50,50,50,50,50,50,50,4
"18",0.99995804,50,50,45,45,50,50,50,50,49,50,50,50,48,50,50,50,50,50,50,50,5
"19",0.9999573,50,50,45,45,50,50,50,50,49,50,50,50,48,50,50,50,50,50,50,50,6
"20",0.99995625,50,50,44,45,50,50,50,50,49,50,50,50,48,50,50,50,50,50,50,50,6
"21",0.99995434,50,50,44,45,50,50,50,50,49,50,50,50,48,50,50,50,50,50,50,50,7
"22",0.9999535,50,50,44,44,50,50,50,50,49,50,50,50,47,50,50,50,50,50,50,50,7
"23",0.9999535,50,50,44,44,50,50,50,50,49,50,50,50,47,50,50,50,50,50,50,50,7
"24",0.99995244,50,50,44,44,50,50,50,50,49,50,50,50,47,50,50,50,50,50,50,50,8
"25",0.99995124,50,50,43,44,50,50,50,50,49,50,50,50,47,50,50,50,50,50,50,50,8
"26",0.99995065,50,50,43,44,50,50,50,50,49,50,50,50,47,50,50,50,50,50,50,50,9
"27",0.9999486,50,50,42,44,50,50,50,50,49,50,50,50,47,50,50,50,50,50,50,50,9
"28",0.9999485,50,50,42,44,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,9
"29",0.99994814,50,50,42,44,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,10
"30",0.999948,50,50,42,44,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,11
"31",0.9999473,50,50,42,44,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,12
"32",0.99994636,50,50,41,44,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,12
"33",0.9999455,50,50,41,43,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,12
"34",0.9999453,50,50,40,43,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,12
"35",0.99994445,50,50,40,43,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,13
"36",0.999944,50,49,40,42,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,13
"37",0.999944,50,49,40,42,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,13
"38",0.9999435,50,49,40,42,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,14
"39",0.99994254,50,49,40,41,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,14
"40",0.99994016,50,49,40,41,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,15
"41",0.99994004,50,49,40,41,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,16
"42",0.9999392,50,48,40,41,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,16
"43",0.99993837,50,48,40,41,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,17
"44",0.99993515,50,48,40,41,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,18
"45",0.999933,50,48,40,41,50,50,50,50,49,50,50,50,46,50,50,50,50,50,50,50,19
"46",0.9999325,50,48,40,41,50,50,50,50,48,50,50,50,46,50,50,50,50,50,50,50,19
"47",0.999931,50,48,40,41,50,50,50,50,48,50,50,50,45,50,50,50,50,50,50,50,19
"48",0.99993014,50,48,39,41,50,50,50,50,48,50,50,50,45,50,50,50,50,50,50,50,19
"49",0.9999293,50,48,38,41,50,50,50,50,48,50,50,50,45,50,50,50,50,50,50,50,19
"50",0.9999285,50,48,38,41,50,50,50,50,48,50,50,50,45,50,50,50,50,50,50,50,20
"51",0.9999274,50,48,38,41,50,50,50,50,48,50,50,50,45,50,50,50,50,50,50,50,21
"52",0.99992657,50,48,37,41,50,50,50,50,48,50,50,50,45,50,50,50,50,50,50,50,21
"53",0.9999262,50,48,37,41,50,50,50,50,48,50,50,50,44,50,50,50,50,50,50,50,21
"54",0.999926,50,48,37,41,50,50,50,50,48,50,50,50,44,50,50,50,50,50,50,50,22
"55",0.99992514,50,48,37,41,50,50,50,50,48,50,50,50,43,50,50,50,50,50,50,50,22
"56",0.99992204,50,48,37,41,50,50,50,50,48,50,50,50,42,50,50,50,50,50,50,50,22
"57",0.9999219,50,48,37,41,50,50,50,50,48,50,50,50,42,50,50,50,50,50,50,50,24
"58",0.9999219,50,48,37,41,50,50,50,50,48,50,50,50,42,50,50,50,50,50,50,50,24
"59",0.9999218,50,48,37,41,50,50,50,50,47,50,50,50,42,50,50,50,50,50,50,50,24
"60",0.9999217,50,48,37,41,50,50,50,50,47,50,50,50,42,50,50,50,50,50,50,50,25
"61",0.99992156,50,48,37,40,50,50,50,50,47,50,50,50,42,50,50,50,50,50,50,50,25
"62",0.9999207,50,48,37,40,50,50,50,50,46,50,50,50,42,50,50,50,50,50,50,50,25
"63",0.9999206,50,48,37,40,50,50,50,50,46,50,50,50,42,50,50,50,50,50,50,50,25
"64",0.9999193,50,48,37,40,50,50,50,50,46,50,50,50,42,50,50,50,50,50,50,50,26
"65",0.9999187,50,47,37,40,50,50,50,50,46,50,50,50,42,50,50,50,50,50,50,50,26
"66",0.9999182,50,47,36,40,50,50,50,50,46,50,50,50,42,50,50,50,50,50,50,50,26
"67",0.9999156,50,47,36,40,50,50,50,50,46,50,50,50,42,50,50,50,50,50,50,50,28
"68",0.9999156,50,47,36,40,50,50,50,50,46,50,50,50,42,50,50,50,50,50,50,50,28
"69",0.99991465,50,47,36,40,50,50,50,50,46,50,50,50,41,50,50,50,50,50,50,50,28
"70",0.9999143,50,47,35,40,50,50,50,50,46,50,50,50,41,50,50,50,50,50,50,50,28
