"","cutoff_index","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"1",664925.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999
"2",634424.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998
"3",527634.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998
"4",520531.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997
"5",511706.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996
"6",485895.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995
"7",484550.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994
"8",479493.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993
"9",474458.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992
"10",460963.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991
"11",445522.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990
"12",431258.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989
"13",428027.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988
"14",424024.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988
"15",408560.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987
"16",387269.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986
"17",383942.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985
"18",376895.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,985
"19",375776.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,985
"20",362584.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,985
"21",361111.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,985
"22",358817.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,985
"23",356435.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,984
"24",354955.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,984
"25",352460.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,984
"26",347864.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,984
"27",346549.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,984
"28",345734.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,984
"29",345580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,984
"30",343547.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,984
"31",342879.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,984
"32",339529.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,983
"33",339066.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,983
"34",329724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,983
"35",325300.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,982
"36",324192.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,982
"37",318455.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,981
"38",316795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,981
"39",313734.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,981
"40",312698.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,981
"41",311489.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,980
"42",311351.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,980
"43",310778.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,979
"44",310074.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,978
"45",308293.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,977
"46",300140.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,976
"47",299249.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,976
"48",296440.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,975
"49",294464.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,974
"50",293212.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,973
"51",293159.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,973
"52",290365.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,973
"53",290238.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,973
"54",288737.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,973
"55",287828.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,972
"56",286595.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,971
"57",284660.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,971
"58",283458.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,971
"59",283132.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,970
"60",281692.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,970
"61",279900.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,970
"62",278276.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,969
"63",268237.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,968
"64",267820.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,968
"65",267386.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,968
"66",267272.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,967
"67",266725.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,967
"68",264766.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,966
"69",262256.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,966
"70",259155.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,965
"71",258999.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,965
"72",258183.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,965
"73",257809.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,965
"74",256557.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,964
"75",256540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,964
"76",256397.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,963
"77",255326.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,963
"78",254447.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,963
"79",253535.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,963
"80",251704.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,963
"81",251383.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,963
"82",250979.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,963
"83",250791.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,962
"84",250571.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,962
"85",249955.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,962
"86",249936.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,962
"87",248295.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,962
"88",248163.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,962
"89",248109.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,962
"90",247997.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,962
"91",247969.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,962
"92",247454.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,962
"93",246471.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,961
"94",246051.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,961
"95",245598.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,961
"96",245179.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,961
"97",244289.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,961
"98",244039.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,961
"99",243654.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,961
"100",243478.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,961
"101",243420.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,961
"102",242847.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,960
"103",241774.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,960
"104",241130.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,959
"105",240763.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,959
"106",240743.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,959
"107",237853.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,959
"108",237807.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,958
"109",237606.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,958
"110",236691.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,957
"111",236678.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,956
"112",236392.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,956
