"","cutoff_index","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"1",1,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"2",0.9999999,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"3",0.9999999,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"4",0.9999999,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"5",0.9999998,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"6",0.9999998,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"7",0.9999998,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"8",0.9999998,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"9",0.9999997,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"10",0.9999997,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"11",0.9999995,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"12",0.9999994,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"13",0.9999994,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"14",0.9999992,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"15",0.99999905,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"16",0.99999905,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"17",0.9999989,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"18",0.99999887,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"19",0.99999845,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"20",0.9999984,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"21",0.9999983,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"22",0.9999983,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"23",0.9999978,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"24",0.99999774,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"25",0.9999976,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"26",0.99999744,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"27",0.9999973,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"28",0.9999968,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"29",0.99999654,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"30",0.9999963,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"31",0.9999962,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"32",0.99999344,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"33",0.99999344,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"34",0.99999297,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"35",0.99999285,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"36",0.99999255,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"37",0.9999924,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"38",0.9999922,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"39",0.99999076,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"40",0.99999076,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"41",0.9999906,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"42",0.99999017,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"43",0.9999901,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"44",0.99998987,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"45",0.99998903,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"46",0.999987,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"47",0.99998605,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"48",0.9999859,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"49",0.9999858,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"50",0.9999846,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"51",0.99998397,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"52",0.99998295,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"53",0.99998176,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"54",0.9999789,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"55",0.99997836,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"56",0.99997723,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"57",0.99997663,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"58",0.9999758,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
"59",0.999975,18,13,22,48,34,22,15,9,44,37,28,30,43,29,32,25,34,29,13,33,0
