"","cutoff_index","FN_ALL"
"1",8.1179005e+22,0
"2",9.691367e+21,0
"3",7.499395e+21,0
"4",5.183205e+21,0
"5",1.8600242e+21,0
"6",6.058559e+20,0
"7",3.3461956e+20,0
"8",7.761733e+19,0
"9",5.494795e+19,0
"10",4.755074e+19,0
"11",4.5287543e+19,0
"12",2.686268e+19,0
"13",2.024063e+19,1
"14",1.5670835e+19,1
"15",1.2497967e+19,1
"16",6.105799e+18,2
"17",5.8026754e+18,2
"18",4.9882457e+18,2
"19",4.2208322e+18,2
"20",4.0620127e+18,2
"21",3.908667e+18,3
"22",2.2406293e+18,3
"23",1.5115469e+18,3
"24",9.5214566e+17,4
"25",8.2964275e+17,4
"26",3.952166e+17,5
"27",3.8909576e+17,5
"28",3.252686e+17,6
"29",2.3574969e+17,6
"30",2.250325e+17,7
"31",2.184096e+17,7
"32",2.141099e+17,8
"33",1.1578798e+17,8
"34",1.0698747e+17,8
"35",1.064357e+17,9
"36",8.694603e+16,9
"37",8.679828e+16,9
"38",4.226125e+16,9
"39",3.676116e+16,9
"40",1.8420425e+16,10
"41",1.5049875e+16,11
"42",1.3543494e+16,11
"43",1.346776e+16,11
"44",1.3381692e+16,12
"45",1.0942994e+16,13
"46",9.221895e+15,14
"47",8.694108e+15,14
"48",8.2999207e+15,15
"49",7.3209344e+15,16
"50",5.6535116e+15,17
"51",5.5008647e+15,18
"52",5.415041e+15,19
"53",5.4117715e+15,19
"54",5.360442e+15,19
"55",5.236408e+15,19
"56",5.1226397e+15,19
"57",5.0755497e+15,20
"58",4.956888e+15,21
"59",4.8019984e+15,22
"60",4.7601284e+15,23
"61",4.526957e+15,24
"62",4.0246243e+15,24
"63",3.8064942e+15,24
"64",3.7962193e+15,25
"65",3.3554478e+15,25
"66",3.2418896e+15,26
"67",3.146366e+15,27
"68",3.1104432e+15,28
"69",3.0855936e+15,29
"70",3.0459355e+15,30
"71",3.0351844e+15,31
"72",2.778088e+15,31
"73",2.4247305e+15,32
"74",2.3685244e+15,32
"75",1.9533843e+15,33
"76",1.8674103e+15,34
"77",1.8317358e+15,35
"78",1.5236634e+15,36
"79",1.4791693e+15,37
"80",1.3916093e+15,38
"81",1.3795984e+15,38
"82",1.2461213e+15,39
"83",1.2113276e+15,39
"84",1.1692313e+15,39
"85",1.1629635e+15,39
"86",1.1199581e+15,39
"87",1.07953996e+15,39
"88",1.0599267e+15,40
"89",1.05466646e+15,41
"90",1.03094496e+15,42
"91",1.0052478e+15,42
"92",9.689449e+14,43
"93",9.581267e+14,43
"94",8.834842e+14,44
"95",8.7768066e+14,45
"96",8.738015e+14,45
"97",8.388871e+14,45
"98",7.6594185e+14,46
"99",7.596689e+14,46
"100",7.3695525e+14,47
"101",6.787007e+14,48
"102",6.61276e+14,48
"103",6.5841553e+14,49
"104",6.3298906e+14,50
"105",5.9194816e+14,50
"106",5.1572706e+14,50
"107",4.692266e+14,51
"108",4.361442e+14,52
"109",4.3339965e+14,52
"110",4.3000582e+14,53
"111",4.1091254e+14,53
"112",4.092963e+14,54
"113",4.0420897e+14,54
"114",3.9461025e+14,54
"115",3.7018467e+14,54
"116",3.619708e+14,55
"117",3.6196276e+14,56
"118",3.491478e+14,57
"119",3.4153056e+14,58
"120",3.264031e+14,59
"121",3.1301957e+14,60
"122",3.0000568e+14,60
"123",2.9866102e+14,61
"124",2.9684784e+14,61
"125",2.9625943e+14,61
"126",2.9059433e+14,62
"127",2.7578638e+14,62
"128",2.752978e+14,62
"129",2.7477849e+14,63
"130",2.7061363e+14,64
"131",2.633591e+14,65
"132",2.6034154e+14,65
"133",2.527933e+14,66
"134",2.5217394e+14,67
"135",2.3964069e+14,68
"136",2.325659e+14,69
"137",2.2294677e+14,69
"138",2.2031092e+14,69
"139",2.1667476e+14,70
"140",2.0201194e+14,71
"141",2.0093417e+14,71
"142",1.9351604e+14,72
"143",1.9140797e+14,73
"144",1.8867142e+14,74
"145",1.8585837e+14,74
"146",1.7708217e+14,75
"147",1.6972122e+14,76
"148",1.6899906e+14,77
"149",1.6534956e+14,78
"150",1.6203475e+14,78
"151",1.4940529e+14,78
"152",1.4050316e+14,79
"153",1.38042614e+14,80
"154",1.3612933e+14,81
"155",1.3522848e+14,82
"156",1.3493922e+14,83
"157",1.33689564e+14,84
"158",1.22118646e+14,84
"159",1.1360624e+14,84
"160",1.1249392e+14,85
"161",1.12032385e+14,86
"162",1.1189624e+14,87
"163",1.1005748e+14,88
"164",1.0989117e+14,89
"165",1.0771163e+14,89
"166",9.387892e+13,90
"167",9.359437e+13,90
"168",9.072759e+13,91
"169",8.530876e+13,91
"170",8.366485e+13,92
"171",8.175939e+13,93
"172",7.762044e+13,94
