"","cutoff_index","FN_ALL"
"1",664925.25,0
"2",634424.56,0
"3",527634.4,1
"4",520531.03,1
"5",511706.84,1
"6",485895.72,1
"7",484550.22,1
"8",479493.56,1
"9",474458.9,1
"10",460963.75,1
"11",445522.3,1
"12",431258.12,1
"13",428027.3,1
"14",424024.9,2
"15",408560.38,2
"16",387269.25,2
"17",383942.4,2
"18",376895.4,3
"19",375776.56,4
"20",362584.25,5
"21",361111.75,6
"22",358817.28,7
"23",356435.97,7
"24",354955.12,8
"25",352460.22,9
"26",347864.34,10
"27",346549.47,11
"28",345734.62,12
"29",345580,13
"30",343547.44,14
"31",342879.84,15
"32",339529.97,15
"33",339066.22,16
"34",329724,17
"35",325300.6,17
"36",324192.47,18
"37",318455.44,18
"38",316795,19
"39",313734.47,20
"40",312698.2,21
"41",311489.1,21
"42",311351.28,22
"43",310778.38,22
"44",310074.06,22
"45",308293.66,22
"46",300140.62,22
"47",299249.47,23
"48",296440.94,23
"49",294464.44,23
"50",293212.78,23
"51",293159.5,24
"52",290365.25,25
"53",290238.72,26
"54",288737.66,27
"55",287828.03,27
"56",286595.3,27
"57",284660.88,28
"58",283458.3,29
"59",283132.47,29
"60",281692.88,30
"61",279900.2,31
"62",278276.4,31
"63",268237.4,31
"64",267820.2,32
"65",267386.3,33
"66",267272.5,33
"67",266725.4,34
"68",264766.62,34
"69",262256.78,35
"70",259155.2,35
"71",258999.92,36
"72",258183.06,37
"73",257809.95,38
"74",256557.69,38
"75",256540,39
"76",256397.31,39
"77",255326.7,40
"78",254447.4,41
"79",253535.97,42
"80",251704.36,43
"81",251383.58,44
"82",250979.53,45
"83",250791.55,45
"84",250571.97,46
"85",249955.78,47
"86",249936.78,48
"87",248295.47,49
"88",248163.62,50
"89",248109.25,51
"90",247997.45,52
"91",247969.38,53
"92",247454.67,54
"93",246471.78,54
"94",246051.95,55
"95",245598.75,56
"96",245179.39,57
"97",244289.66,58
"98",244039.12,59
"99",243654.98,60
"100",243478.6,61
"101",243420.73,62
"102",242847.97,62
"103",241774.16,63
"104",241130.72,63
"105",240763.86,64
"106",240743.34,65
"107",237853.94,66
"108",237807.03,66
"109",237606.94,67
"110",236691.06,67
"111",236678.9,67
"112",236392.88,68
"113",236231.72,69
"114",234523.03,70
"115",233805.02,71
"116",233338.97,72
"117",233308.66,73
"118",232999.75,74
"119",232945.16,75
"120",231400.25,75
"121",231356.02,76
"122",230528.72,77
"123",229677.67,78
"124",229524.3,79
"125",229077.28,80
"126",228408.44,81
"127",228205.56,82
"128",227351.39,83
"129",226431.69,84
"130",226026.47,85
"131",225679.34,86
"132",224716.36,87
"133",223642.56,87
"134",223569.47,87
"135",223094.53,88
"136",222984.3,89
"137",222053.75,90
"138",221991.53,91
"139",221327.6,92
"140",221324.5,93
"141",221018.44,94
"142",220991.64,95
"143",220974.53,95
"144",220641.52,95
"145",220548.4,96
"146",220165.98,97
"147",219809.1,97
"148",219588.34,97
"149",218844.66,97
"150",217955.5,97
"151",217486.94,98
"152",216513.61,99
"153",216496.88,100
"154",216118.3,101
"155",216098.31,102
"156",216060.62,103
"157",215193.56,103
"158",214905.11,104
"159",214669.08,104
"160",214443.94,105
"161",213946.6,106
"162",213914.38,107
"163",213463.16,108
"164",213233.47,109
"165",212824.12,109
"166",211018.44,109
"167",210779.97,110
"168",210091.22,110
"169",209917,110
"170",209685.38,111
"171",209631.7,112
"172",209051,113
"173",208782.52,114
"174",208748.67,115
"175",206979.44,116
"176",206411.5,116
"177",205803.17,117
"178",205289.78,117
"179",204683.92,118
"180",203675.17,119
"181",203382.05,119
"182",202721.8,119
"183",201910.8,119
"184",200147.92,120
"185",199610.53,120
"186",199032.08,121
"187",198976.05,122
"188",198926.75,122
"189",198925.81,122
"190",198520.31,123
"191",198298.62,124
"192",198082.03,125
"193",197678.03,125
"194",196739.14,126
"195",195869.2,127
"196",195479.3,128
"197",195312.94,129
"198",195085.08,130
"199",194972.16,131
"200",194925.28,131
"201",194820.14,131
"202",194600.88,132
"203",194254.64,132
"204",194166.95,132
"205",193669.73,133
"206",193203.83,134
"207",192984.72,135
"208",192692.84,136
"209",192659.94,137
"210",192581.95,138
"211",192021.72,139
"212",191998.27,140
"213",191627.38,141
"214",191622.62,142
"215",191418.34,143
"216",191120.12,143
"217",190909.42,144
"218",190796.23,144
"219",190425.95,145
"220",190302.81,146
"221",190214.58,147
"222",189159.95,148
"223",188698.95,149
"224",188563.64,149
"225",188241.42,150
"226",188239.53,151
"227",188162.61,152
"228",187837.28,152
"229",187806.95,153
"230",187477.89,154
"231",187470.8,155
"232",187431.31,156
"233",187369.33,156
"234",187296.25,156
"235",187178.45,157
"236",187026.84,157
"237",186853.47,158
"238",186760.94,159
"239",186591.03,159
"240",185867.3,160
"241",185685.16,160
"242",185440.08,161
"243",185200.5,162
"244",185200.2,162
"245",185096.34,162
"246",185064.78,163
"247",184967.75,163
"248",184774.22,163
"249",184602.94,163
"250",184317.11,163
"251",184270.83,164
"252",184009.6,165
"253",184003.98,165
"254",183989.06,166
"255",183935.1,167
"256",183523.39,168
"257",183392.31,169
"258",183352.06,169
"259",183297,170
"260",183234.5,171
"261",182775.8,171
"262",182491.66,172
"263",182323.84,173
"264",181917.95,174
"265",181897.98,175
"266",181615.95,175
"267",181546.66,176
"268",181243.86,177
"269",180948.6,178
"270",180827.14,179
"271",180603.67,179
"272",180208.98,180
"273",180114.94,181
"274",179846.88,181
"275",179800.98,182
"276",179581.66,182
"277",179512.06,183
"278",179054.19,184
"279",179014.52,185
"280",178568,185
"281",178269.64,185
"282",177588.34,185
"283",177491.95,186
"284",177368.95,187
"285",177148.1,188
"286",176986.75,189
"287",176922.9,190
"288",176680.78,191
"289",176602.6,192
"290",176571.3,193
"291",175370.08,194
"292",175199.44,194
"293",174802.7,195
"294",174736.88,196
"295",174586.75,197
"296",174505.7,197
"297",174468.98,197
"298",174294.92,198
"299",174269.86,199
"300",174255.84,200
"301",174203.34,201
"302",174128.64,202
"303",174034.9,202
"304",173934.19,203
"305",173843.84,204
"306",173277.33,204
"307",173090.08,205
"308",172878.58,206
"309",172723.89,207
"310",172688.84,208
"311",172633.88,209
"312",172406.55,210
"313",171943.31,211
"314",171915.72,212
"315",171761.3,212
"316",171162.22,213
"317",171001.12,214
"318",170833.53,215
"319",170805.97,216
"320",170618.23,217
"321",170460.69,218
"322",170189.3,219
"323",169812.45,220
"324",169665.12,221
"325",169319.4,222
"326",169206.6,222
"327",168791.67,223
"328",168336.38,224
"329",168281.06,225
"330",168184,226
"331",168174.11,226
"332",167792.03,226
"333",167229,227
"334",166946.16,228
"335",166813.81,228
"336",166715.45,229
"337",166578.97,230
"338",166568.44,231
