"","cutoff_index","FP_ALL"
"1",0.99998045,999
"2",0.99997807,998
"3",0.9999759,997
"4",0.9999745,997
"5",0.99997437,996
"6",0.9999739,994
"7",0.9999739,994
"8",0.9999734,993
"9",0.99997115,992
"10",0.9999703,991
"11",0.99996924,991
"12",0.99996686,990
"13",0.9999666,989
"14",0.9999654,988
"15",0.9999652,988
"16",0.999962,988
"17",0.99995947,987
"18",0.99995804,987
"19",0.9999573,987
"20",0.99995625,986
"21",0.99995434,986
"22",0.9999535,984
"23",0.9999535,984
"24",0.99995244,984
"25",0.99995124,983
"26",0.99995065,983
"27",0.9999486,982
"28",0.9999485,981
"29",0.99994814,981
"30",0.999948,981
"31",0.9999473,981
"32",0.99994636,980
"33",0.9999455,979
"34",0.9999453,978
"35",0.99994445,978
"36",0.999944,977
"37",0.999944,977
"38",0.9999435,977
"39",0.99994254,976
"40",0.99994016,976
"41",0.99994004,976
"42",0.9999392,976
"43",0.99993837,976
"44",0.99993515,976
"45",0.999933,976
"46",0.9999325,975
"47",0.999931,974
"48",0.99993014,973
"49",0.9999293,972
"50",0.9999285,972
"51",0.9999274,972
"52",0.99992657,971
"53",0.9999262,970
"54",0.999926,970
"55",0.99992514,969
"56",0.99992204,968
"57",0.9999219,968
"58",0.9999219,968
"59",0.9999218,967
"60",0.9999217,967
"61",0.99992156,966
"62",0.9999207,965
"63",0.9999206,964
"64",0.9999193,964
"65",0.9999187,964
"66",0.9999182,963
"67",0.9999156,963
"68",0.9999156,963
"69",0.99991465,962
"70",0.9999143,961
"71",0.99991393,961
"72",0.99991333,960
"73",0.999908,960
"74",0.9999043,959
"75",0.99990404,959
"76",0.9999038,959
"77",0.9999013,958
"78",0.9999,946
"79",0.9999,946
"80",0.9999,946
"81",0.9999,946
"82",0.9999,946
"83",0.9999,946
"84",0.9999,946
"85",0.9999,946
"86",0.9999,946
"87",0.9999,946
"88",0.9999,946
"89",0.9999,946
"90",0.9999,946
"91",0.9999,946
"92",0.9999,946
"93",0.9999,946
"94",0.9999,946
"95",0.9999,946
"96",0.9999,946
"97",0.9999,946
"98",0.9999,946
"99",0.9999,946
"100",0.9999,946
"101",0.9999,946
"102",0.9999,946
"103",0.9999,946
"104",0.9999,946
"105",0.9999,946
"106",0.9999,946
"107",0.9999,946
"108",0.9999,946
"109",0.9999,946
"110",0.9999,946
"111",0.9999,946
"112",0.9999,946
"113",0.9999,946
"114",0.9999,946
"115",0.9999,946
"116",0.9999,946
"117",0.9999,946
"118",0.9999,946
"119",0.9999,946
"120",0.9999,946
"121",0.9999,946
"122",0.9999,946
"123",0.9999,946
"124",0.9999,946
"125",0.9999,946
"126",0.9999,946
"127",0.9999,946
"128",0.9999,946
"129",0.9999,946
"130",0.9999,946
"131",0.9999,946
"132",0.9999,946
"133",0.9999,946
"134",0.9999,946
"135",0.9999,946
"136",0.9999,946
"137",0.9999,946
"138",0.9999,946
"139",0.9999,946
"140",0.9999,946
"141",0.9999,946
"142",0.9999,946
"143",0.9999,946
"144",0.9999,946
"145",0.9999,946
"146",0.9999,946
"147",0.9999,946
"148",0.9999,946
"149",0.9999,946
"150",0.9999,946
"151",0.9999,946
"152",0.9999,946
"153",0.9999,946
"154",0.9999,946
"155",0.9999,946
"156",0.9999,946
"157",0.9999,946
"158",0.9999,946
"159",0.9999,946
"160",0.9999,946
"161",0.9999,946
"162",0.9999,946
"163",0.9999,946
"164",0.9999,946
"165",0.9999,946
"166",0.9999,946
"167",0.9999,946
"168",0.9999,946
"169",0.9999,946
"170",0.9999,946
"171",0.9999,946
"172",0.9999,946
"173",0.9999,946
"174",0.9999,946
"175",0.9999,946
"176",0.9999,946
"177",0.9999,946
"178",0.9999,946
"179",0.9999,946
"180",0.9999,946
"181",0.9999,946
"182",0.9999,946
"183",0.9999,946
"184",0.9999,946
