"","cutoff_index","FP_ALL"
"1",8.1179005e+22,999
"2",9.691367e+21,998
"3",7.499395e+21,997
"4",5.183205e+21,996
"5",1.8600242e+21,995
"6",6.058559e+20,994
"7",3.3461956e+20,993
"8",7.761733e+19,992
"9",5.494795e+19,991
"10",4.755074e+19,990
"11",4.5287543e+19,989
"12",2.686268e+19,988
"13",2.024063e+19,988
"14",1.5670835e+19,987
"15",1.2497967e+19,986
"16",6.105799e+18,986
"17",5.8026754e+18,985
"18",4.9882457e+18,984
"19",4.2208322e+18,983
"20",4.0620127e+18,982
"21",3.908667e+18,982
"22",2.2406293e+18,981
"23",1.5115469e+18,980
"24",9.5214566e+17,980
"25",8.2964275e+17,979
"26",3.952166e+17,979
"27",3.8909576e+17,978
"28",3.252686e+17,978
"29",2.3574969e+17,977
"30",2.250325e+17,977
"31",2.184096e+17,976
"32",2.141099e+17,976
"33",1.1578798e+17,975
"34",1.0698747e+17,974
"35",1.064357e+17,974
"36",8.694603e+16,973
"37",8.679828e+16,972
"38",4.226125e+16,971
"39",3.676116e+16,970
"40",1.8420425e+16,970
"41",1.5049875e+16,970
"42",1.3543494e+16,969
"43",1.346776e+16,968
"44",1.3381692e+16,968
"45",1.0942994e+16,968
"46",9.221895e+15,968
"47",8.694108e+15,967
"48",8.2999207e+15,967
"49",7.3209344e+15,967
"50",5.6535116e+15,967
"51",5.5008647e+15,967
"52",5.415041e+15,967
"53",5.4117715e+15,966
"54",5.360442e+15,965
"55",5.236408e+15,964
"56",5.1226397e+15,963
"57",5.0755497e+15,963
"58",4.956888e+15,963
"59",4.8019984e+15,963
"60",4.7601284e+15,963
"61",4.526957e+15,963
"62",4.0246243e+15,962
"63",3.8064942e+15,961
"64",3.7962193e+15,961
"65",3.3554478e+15,960
"66",3.2418896e+15,960
"67",3.146366e+15,960
"68",3.1104432e+15,960
"69",3.0855936e+15,960
"70",3.0459355e+15,960
"71",3.0351844e+15,960
"72",2.778088e+15,959
"73",2.4247305e+15,959
"74",2.3685244e+15,958
"75",1.9533843e+15,958
"76",1.8674103e+15,958
"77",1.8317358e+15,958
"78",1.5236634e+15,958
"79",1.4791693e+15,958
"80",1.3916093e+15,958
"81",1.3795984e+15,957
"82",1.2461213e+15,957
"83",1.2113276e+15,956
"84",1.1692313e+15,955
"85",1.1629635e+15,954
"86",1.1199581e+15,953
"87",1.07953996e+15,952
"88",1.0599267e+15,952
"89",1.05466646e+15,952
"90",1.03094496e+15,952
"91",1.0052478e+15,951
"92",9.689449e+14,951
"93",9.581267e+14,950
"94",8.834842e+14,950
"95",8.7768066e+14,950
"96",8.738015e+14,949
"97",8.388871e+14,948
"98",7.6594185e+14,948
"99",7.596689e+14,947
"100",7.3695525e+14,947
"101",6.787007e+14,947
"102",6.61276e+14,946
"103",6.5841553e+14,946
"104",6.3298906e+14,946
"105",5.9194816e+14,945
"106",5.1572706e+14,944
"107",4.692266e+14,944
"108",4.361442e+14,944
"109",4.3339965e+14,943
"110",4.3000582e+14,943
"111",4.1091254e+14,942
"112",4.092963e+14,942
"113",4.0420897e+14,941
"114",3.9461025e+14,940
"115",3.7018467e+14,939
"116",3.619708e+14,939
"117",3.6196276e+14,939
"118",3.491478e+14,939
"119",3.4153056e+14,939
"120",3.264031e+14,939
"121",3.1301957e+14,939
"122",3.0000568e+14,938
"123",2.9866102e+14,938
"124",2.9684784e+14,937
"125",2.9625943e+14,936
"126",2.9059433e+14,936
"127",2.7578638e+14,935
"128",2.752978e+14,934
