"","cutoff_index","FP_ALL"
"1",664925.25,999
"2",634424.56,998
"3",527634.4,998
"4",520531.03,997
"5",511706.84,996
"6",485895.72,995
"7",484550.22,994
"8",479493.56,993
"9",474458.9,992
"10",460963.75,991
"11",445522.3,990
"12",431258.12,989
"13",428027.3,988
"14",424024.9,988
"15",408560.38,987
"16",387269.25,986
"17",383942.4,985
"18",376895.4,985
"19",375776.56,985
"20",362584.25,985
"21",361111.75,985
"22",358817.28,985
"23",356435.97,984
"24",354955.12,984
"25",352460.22,984
"26",347864.34,984
"27",346549.47,984
"28",345734.62,984
"29",345580,984
"30",343547.44,984
"31",342879.84,984
"32",339529.97,983
"33",339066.22,983
"34",329724,983
"35",325300.6,982
"36",324192.47,982
"37",318455.44,981
"38",316795,981
"39",313734.47,981
"40",312698.2,981
"41",311489.1,980
"42",311351.28,980
"43",310778.38,979
"44",310074.06,978
"45",308293.66,977
"46",300140.62,976
"47",299249.47,976
"48",296440.94,975
"49",294464.44,974
"50",293212.78,973
"51",293159.5,973
"52",290365.25,973
"53",290238.72,973
"54",288737.66,973
"55",287828.03,972
"56",286595.3,971
"57",284660.88,971
"58",283458.3,971
"59",283132.47,970
"60",281692.88,970
"61",279900.2,970
"62",278276.4,969
"63",268237.4,968
"64",267820.2,968
"65",267386.3,968
"66",267272.5,967
"67",266725.4,967
"68",264766.62,966
"69",262256.78,966
"70",259155.2,965
"71",258999.92,965
"72",258183.06,965
"73",257809.95,965
"74",256557.69,964
"75",256540,964
"76",256397.31,963
"77",255326.7,963
"78",254447.4,963
"79",253535.97,963
"80",251704.36,963
"81",251383.58,963
"82",250979.53,963
"83",250791.55,962
"84",250571.97,962
"85",249955.78,962
"86",249936.78,962
"87",248295.47,962
"88",248163.62,962
"89",248109.25,962
"90",247997.45,962
"91",247969.38,962
"92",247454.67,962
"93",246471.78,961
"94",246051.95,961
"95",245598.75,961
"96",245179.39,961
"97",244289.66,961
"98",244039.12,961
"99",243654.98,961
"100",243478.6,961
"101",243420.73,961
"102",242847.97,960
"103",241774.16,960
"104",241130.72,959
"105",240763.86,959
"106",240743.34,959
"107",237853.94,959
"108",237807.03,958
"109",237606.94,958
"110",236691.06,957
"111",236678.9,956
"112",236392.88,956
"113",236231.72,956
"114",234523.03,956
"115",233805.02,956
"116",233338.97,956
"117",233308.66,956
"118",232999.75,956
"119",232945.16,956
"120",231400.25,955
"121",231356.02,955
"122",230528.72,955
"123",229677.67,955
"124",229524.3,955
"125",229077.28,955
"126",228408.44,955
"127",228205.56,955
"128",227351.39,955
"129",226431.69,955
"130",226026.47,955
"131",225679.34,955
"132",224716.36,955
"133",223642.56,954
"134",223569.47,953
"135",223094.53,953
"136",222984.3,953
"137",222053.75,953
"138",221991.53,953
"139",221327.6,953
"140",221324.5,953
"141",221018.44,953
"142",220991.64,953
"143",220974.53,952
"144",220641.52,951
"145",220548.4,951
"146",220165.98,951
"147",219809.1,950
"148",219588.34,949
"149",218844.66,948
"150",217955.5,947
"151",217486.94,947
"152",216513.61,947
"153",216496.88,947
"154",216118.3,947
"155",216098.31,947
"156",216060.62,947
"157",215193.56,946
"158",214905.11,946
"159",214669.08,945
"160",214443.94,945
"161",213946.6,945
"162",213914.38,945
"163",213463.16,945
"164",213233.47,945
"165",212824.12,944
"166",211018.44,943
"167",210779.97,943
"168",210091.22,942
"169",209917,941
"170",209685.38,941
"171",209631.7,941
"172",209051,941
"173",208782.52,941
"174",208748.67,941
"175",206979.44,941
"176",206411.5,940
"177",205803.17,940
"178",205289.78,939
"179",204683.92,939
"180",203675.17,939
"181",203382.05,938
"182",202721.8,937
"183",201910.8,936
"184",200147.92,936
"185",199610.53,935
"186",199032.08,935
"187",198976.05,935
"188",198926.75,934
"189",198925.81,933
"190",198520.31,933
"191",198298.62,933
"192",198082.03,933
"193",197678.03,932
"194",196739.14,932
"195",195869.2,932
"196",195479.3,932
"197",195312.94,932
"198",195085.08,932
"199",194972.16,932
"200",194925.28,931
"201",194820.14,930
"202",194600.88,930
"203",194254.64,929
"204",194166.95,928
"205",193669.73,928
"206",193203.83,928
"207",192984.72,928
"208",192692.84,928
"209",192659.94,928
"210",192581.95,928
"211",192021.72,928
"212",191998.27,928
"213",191627.38,928
"214",191622.62,928
"215",191418.34,928
"216",191120.12,927
"217",190909.42,927
"218",190796.23,926
"219",190425.95,926
"220",190302.81,926
"221",190214.58,926
"222",189159.95,926
"223",188698.95,926
"224",188563.64,925
"225",188241.42,925
"226",188239.53,925
"227",188162.61,925
"228",187837.28,924
"229",187806.95,924
"230",187477.89,924
"231",187470.8,924
"232",187431.31,924
"233",187369.33,923
"234",187296.25,922
"235",187178.45,922
"236",187026.84,921
"237",186853.47,921
"238",186760.94,921
"239",186591.03,920
"240",185867.3,920
"241",185685.16,919
"242",185440.08,919
"243",185200.5,919
"244",185200.2,918
"245",185096.34,917
"246",185064.78,917
"247",184967.75,916
"248",184774.22,915
"249",184602.94,914
"250",184317.11,913
"251",184270.83,913
"252",184009.6,913
"253",184003.98,912
"254",183989.06,912
"255",183935.1,912
"256",183523.39,912
"257",183392.31,912
"258",183352.06,911
"259",183297,911
"260",183234.5,911
"261",182775.8,910
"262",182491.66,910
"263",182323.84,910
"264",181917.95,910
"265",181897.98,910
"266",181615.95,909
"267",181546.66,909
"268",181243.86,909
"269",180948.6,909
"270",180827.14,909
"271",180603.67,908
"272",180208.98,908
"273",180114.94,908
"274",179846.88,907
"275",179800.98,907
"276",179581.66,906
"277",179512.06,906
"278",179054.19,906
"279",179014.52,906
"280",178568,905
"281",178269.64,904
"282",177588.34,903
"283",177491.95,903
"284",177368.95,903
"285",177148.1,903
"286",176986.75,903
"287",176922.9,903
"288",176680.78,903
"289",176602.6,903
"290",176571.3,903
"291",175370.08,903
"292",175199.44,902
"293",174802.7,902
"294",174736.88,902
"295",174586.75,902
"296",174505.7,901
"297",174468.98,900
"298",174294.92,900
"299",174269.86,900
"300",174255.84,900
"301",174203.34,900
"302",174128.64,900
"303",174034.9,899
"304",173934.19,899
"305",173843.84,899
"306",173277.33,898
"307",173090.08,898
"308",172878.58,898
"309",172723.89,898
"310",172688.84,898
"311",172633.88,898
"312",172406.55,898
"313",171943.31,898
"314",171915.72,898
"315",171761.3,897
"316",171162.22,897
"317",171001.12,897
"318",170833.53,897
"319",170805.97,897
"320",170618.23,897
"321",170460.69,897
"322",170189.3,897
"323",169812.45,897
"324",169665.12,897
"325",169319.4,897
"326",169206.6,896
"327",168791.67,896
"328",168336.38,896
"329",168281.06,896
"330",168184,896
"331",168174.11,895
"332",167792.03,894
"333",167229,894
"334",166946.16,894
"335",166813.81,893
"336",166715.45,893
"337",166578.97,893
"338",166568.44,893
"339",166122.92,893
"340",165778.77,893
"341",165625.53,893
"342",165112.16,893
"343",164843.97,892
"344",164660.22,892
"345",164465.34,892
"346",164357.31,891
"347",164331.97,891
"348",163741.1,891
"349",163530.14,891
"350",163519.38,890
"351",163504.58,890
"352",163238.73,890
"353",163172.84,890
"354",162659.19,890
"355",162628.22,890
"356",162544.66,890
"357",162242.1,890
"358",162180.81,889
"359",161996.34,889
"360",161909.67,889
"361",161881.3,888
"362",161816.73,888
"363",161812.06,888
"364",161641.73,888
"365",161189.53,888
"366",161167.8,888
"367",160673.67,888
"368",159997.06,888
"369",159915.48,888
"370",159642.48,887
"371",159556.4,887
"372",159076.52,887
"373",159060.14,887
"374",158834.28,886
"375",158543.06,886
"376",158350.48,886
"377",158210.98,886
"378",158079.33,886
"379",157702.25,886
"380",155936.17,886
"381",155909.88,886
"382",155873.31,886
"383",155442.25,885
"384",155441.17,884
"385",155385.61,884
"386",155373.84,884
"387",155351.25,884
"388",155349.33,883
"389",155311.72,883
"390",155264.31,883
"391",155096.4,883
"392",154844.22,883
"393",154578.52,883
"394",154334.02,883
"395",154110.2,882
"396",154081.53,882
"397",153851.4,881
"398",153725.45,880
"399",153673.8,880
"400",153538.16,880
"401",153523.2,880
"402",153458.39,880
"403",153404.06,880
"404",153051.19,880
"405",153009.52,880
"406",152605.28,880
"407",152454.88,879
"408",152448.3,879
"409",152388.73,878
"410",152318.36,878
"411",151625.72,878
"412",151600.48,878
"413",151481.78,877
"414",151386.64,877
