"","cutoffIndex","data_recall_All"
"1",0.99998045,1
"2",0.99997807,1
"3",0.9999759,1
"4",0.9999745,1
"5",0.99997437,1
"6",0.9999739,1
"7",0.9999739,1
"8",0.9999734,1
"9",0.99997115,1
"10",0.9999703,1
"11",0.99996924,1
"12",0.99996686,1
"13",0.9999666,1
"14",0.9999654,1
"15",0.9999652,1
"16",0.999962,1
"17",0.99995947,1
"18",0.99995804,1
"19",0.9999573,1
"20",0.99995625,1
"21",0.99995434,1
"22",0.9999535,1
"23",0.9999535,1
"24",0.99995244,1
"25",0.99995124,1
"26",0.99995065,1
"27",0.9999486,1
"28",0.9999485,1
"29",0.99994814,1
"30",0.999948,1
"31",0.9999473,1
"32",0.99994636,1
"33",0.9999455,1
"34",0.9999453,1
"35",0.99994445,1
"36",0.999944,1
"37",0.999944,1
"38",0.9999435,1
"39",0.99994254,1
"40",0.99994016,1
"41",0.99994004,1
"42",0.9999392,1
"43",0.99993837,1
"44",0.99993515,1
"45",0.999933,1
"46",0.9999325,1
"47",0.999931,1
"48",0.99993014,1
"49",0.9999293,1
"50",0.9999285,1
"51",0.9999274,1
"52",0.99992657,1
"53",0.9999262,1
"54",0.999926,1
"55",0.99992514,1
"56",0.99992204,1
"57",0.9999219,1
"58",0.9999219,1
"59",0.9999218,1
"60",0.9999217,1
"61",0.99992156,1
"62",0.9999207,1
"63",0.9999206,1
"64",0.9999193,1
"65",0.9999187,1
"66",0.9999182,1
"67",0.9999156,1
"68",0.9999156,1
"69",0.99991465,1
"70",0.9999143,1
"71",0.99991393,1
"72",0.99991333,1
"73",0.999908,1
"74",0.9999043,1
"75",0.99990404,1
"76",0.9999038,1
"77",0.9999013,1
"78",0.9999,1
"79",0.9999,1
"80",0.9999,1
"81",0.9999,1
"82",0.9999,1
"83",0.9999,1
"84",0.9999,1
"85",0.9999,1
"86",0.9999,1
"87",0.9999,1
"88",0.9999,1
"89",0.9999,1
"90",0.9999,1
"91",0.9999,1
"92",0.9999,1
"93",0.9999,1
"94",0.9999,1
"95",0.9999,1
"96",0.9999,1
"97",0.9999,1
"98",0.9999,1
"99",0.9999,1
"100",0.9999,1
"101",0.9999,1
"102",0.9999,1
"103",0.9999,1
"104",0.9999,1
"105",0.9999,1
"106",0.9999,1
"107",0.9999,1
"108",0.9999,1
"109",0.9999,1
"110",0.9999,1
"111",0.9999,1
"112",0.9999,1
"113",0.9999,1
"114",0.9999,1
"115",0.9999,1
"116",0.9999,1
"117",0.9999,1
"118",0.9999,1
"119",0.9999,1
"120",0.9999,1
"121",0.9999,1
"122",0.9999,1
"123",0.9999,1
"124",0.9999,1
"125",0.9999,1
"126",0.9999,1
"127",0.9999,1
"128",0.9999,1
"129",0.9999,1
"130",0.9999,1
"131",0.9999,1
"132",0.9999,1
"133",0.9999,1
"134",0.9999,1
"135",0.9999,1
"136",0.9999,1
"137",0.9999,1
"138",0.9999,1
"139",0.9999,1
"140",0.9999,1
"141",0.9999,1
"142",0.9999,1
"143",0.9999,1
"144",0.9999,1
"145",0.9999,1
"146",0.9999,1
"147",0.9999,1
"148",0.9999,1
"149",0.9999,1
"150",0.9999,1
"151",0.9999,1
"152",0.9999,1
"153",0.9999,1
"154",0.9999,1
"155",0.9999,1
"156",0.9999,1
"157",0.9999,1
"158",0.9999,1
"159",0.9999,1
"160",0.9999,1
"161",0.9999,1
"162",0.9999,1
"163",0.9999,1
"164",0.9999,1
"165",0.9999,1
"166",0.9999,1
"167",0.9999,1
"168",0.9999,1
"169",0.9999,1
"170",0.9999,1
"171",0.9999,1
"172",0.9999,1
"173",0.9999,1
"174",0.9999,1
"175",0.9999,1
"176",0.9999,1
"177",0.9999,1
"178",0.9999,1
"179",0.9999,1
"180",0.9999,1
"181",0.9999,1
"182",0.9999,1
"183",0.9999,1
"184",0.9999,1
"185",0.9999,1
"186",0.9999,1
"187",0.9999,1
"188",0.9999,1
"189",0.9999,1
"190",0.9999,1
"191",0.9999,1
"192",0.9999,1
"193",0.9999,1
"194",0.9999,1
"195",0.9999,1
"196",0.9999,1
"197",0.9999,1
"198",0.9999,1
"199",0.9999,1
"200",0.9999,1
"201",0.9999,1
"202",0.9999,1
"203",0.9999,1
"204",0.9999,1
"205",0.9999,1
"206",0.9999,1
"207",0.9999,1
"208",0.9999,1
"209",0.9999,1
"210",0.9999,1
"211",0.9999,1
"212",0.9999,1
"213",0.9999,1
"214",0.9999,1
"215",0.9999,1
"216",0.9999,1
"217",0.9999,1
"218",0.9999,1
"219",0.9999,1
"220",0.9999,1
"221",0.9999,1
"222",0.9999,1
"223",0.9999,1
"224",0.9999,1
"225",0.9999,1
"226",0.9999,1
"227",0.9999,1
"228",0.9999,1
"229",0.9999,1
"230",0.9999,1
"231",0.9999,1
"232",0.9999,1
"233",0.9999,1
"234",0.9999,1
"235",0.9999,1
"236",0.9999,1
"237",0.9999,1
"238",0.9999,1
"239",0.9999,1
"240",0.9999,1
"241",0.9999,1
"242",0.9999,1
"243",0.9999,1
"244",0.9999,1
"245",0.9999,1
"246",0.9999,1
"247",0.9999,1
"248",0.9999,1
"249",0.9999,1
"250",0.9999,1
"251",0.9999,1
"252",0.9999,1
"253",0.9999,1
"254",0.9999,1
"255",0.9999,1
"256",0.9999,1
"257",0.9999,1
"258",0.9999,1
"259",0.9999,1
"260",0.9999,1
"261",0.9999,1
"262",0.9999,1
"263",0.9999,1
"264",0.9999,1
"265",0.9999,1
"266",0.9999,1
"267",0.9999,1
"268",0.9999,1
"269",0.9999,1
"270",0.9999,1
"271",0.9999,1
"272",0.9999,1
"273",0.9999,1
"274",0.9999,1
"275",0.9999,1
"276",0.9999,1
"277",0.9999,1
"278",0.9999,1
"279",0.9999,1
"280",0.9999,1
"281",0.9999,1
"282",0.9999,1
"283",0.9999,1
"284",0.9999,1
"285",0.9999,1
"286",0.9999,1
"287",0.9999,1
"288",0.9999,1
"289",0.9999,1
"290",0.9999,1
"291",0.9999,1
"292",0.9999,1
"293",0.9999,1
"294",0.9999,1
"295",0.9999,1
"296",0.9999,1
"297",0.9999,1
"298",0.9999,1
"299",0.9999,1
