"","cutoff_index","TN_ALL"
"1",664925.25,1
"2",634424.56,2
"3",527634.4,2
"4",520531.03,3
"5",511706.84,4
"6",485895.72,5
"7",484550.22,6
"8",479493.56,7
"9",474458.9,8
"10",460963.75,9
"11",445522.3,10
"12",431258.12,11
"13",428027.3,12
"14",424024.9,12
"15",408560.38,13
"16",387269.25,14
"17",383942.4,15
"18",376895.4,15
"19",375776.56,15
"20",362584.25,15
"21",361111.75,15
"22",358817.28,15
"23",356435.97,16
"24",354955.12,16
"25",352460.22,16
"26",347864.34,16
"27",346549.47,16
"28",345734.62,16
"29",345580,16
"30",343547.44,16
"31",342879.84,16
"32",339529.97,17
"33",339066.22,17
"34",329724,17
"35",325300.6,18
"36",324192.47,18
"37",318455.44,19
"38",316795,19
"39",313734.47,19
"40",312698.2,19
"41",311489.1,20
"42",311351.28,20
"43",310778.38,21
"44",310074.06,22
"45",308293.66,23
"46",300140.62,24
"47",299249.47,24
"48",296440.94,25
"49",294464.44,26
"50",293212.78,27
"51",293159.5,27
"52",290365.25,27
"53",290238.72,27
"54",288737.66,27
"55",287828.03,28
"56",286595.3,29
"57",284660.88,29
"58",283458.3,29
"59",283132.47,30
"60",281692.88,30
"61",279900.2,30
"62",278276.4,31
"63",268237.4,32
"64",267820.2,32
"65",267386.3,32
"66",267272.5,33
"67",266725.4,33
"68",264766.62,34
"69",262256.78,34
"70",259155.2,35
"71",258999.92,35
"72",258183.06,35
"73",257809.95,35
"74",256557.69,36
"75",256540,36
"76",256397.31,37
"77",255326.7,37
"78",254447.4,37
"79",253535.97,37
"80",251704.36,37
"81",251383.58,37
"82",250979.53,37
"83",250791.55,38
"84",250571.97,38
"85",249955.78,38
"86",249936.78,38
"87",248295.47,38
"88",248163.62,38
"89",248109.25,38
"90",247997.45,38
"91",247969.38,38
"92",247454.67,38
"93",246471.78,39
"94",246051.95,39
"95",245598.75,39
"96",245179.39,39
"97",244289.66,39
"98",244039.12,39
"99",243654.98,39
"100",243478.6,39
"101",243420.73,39
"102",242847.97,40
"103",241774.16,40
"104",241130.72,41
"105",240763.86,41
"106",240743.34,41
"107",237853.94,41
"108",237807.03,42
"109",237606.94,42
"110",236691.06,43
"111",236678.9,44
"112",236392.88,44
"113",236231.72,44
"114",234523.03,44
"115",233805.02,44
"116",233338.97,44
"117",233308.66,44
"118",232999.75,44
"119",232945.16,44
"120",231400.25,45
"121",231356.02,45
"122",230528.72,45
"123",229677.67,45
"124",229524.3,45
"125",229077.28,45
"126",228408.44,45
"127",228205.56,45
"128",227351.39,45
"129",226431.69,45
"130",226026.47,45
"131",225679.34,45
"132",224716.36,45
"133",223642.56,46
"134",223569.47,47
"135",223094.53,47
"136",222984.3,47
"137",222053.75,47
"138",221991.53,47
"139",221327.6,47
"140",221324.5,47
"141",221018.44,47
"142",220991.64,47
"143",220974.53,48
"144",220641.52,49
"145",220548.4,49
"146",220165.98,49
"147",219809.1,50
"148",219588.34,51
"149",218844.66,52
"150",217955.5,53
"151",217486.94,53
"152",216513.61,53
"153",216496.88,53
"154",216118.3,53
"155",216098.31,53
"156",216060.62,53
"157",215193.56,54
"158",214905.11,54
"159",214669.08,55
"160",214443.94,55
"161",213946.6,55
"162",213914.38,55
"163",213463.16,55
"164",213233.47,55
"165",212824.12,56
"166",211018.44,57
"167",210779.97,57
"168",210091.22,58
"169",209917,59
"170",209685.38,59
"171",209631.7,59
"172",209051,59
"173",208782.52,59
"174",208748.67,59
"175",206979.44,59
"176",206411.5,60
"177",205803.17,60
"178",205289.78,61
"179",204683.92,61
"180",203675.17,61
"181",203382.05,62
"182",202721.8,63
"183",201910.8,64
"184",200147.92,64
"185",199610.53,65
"186",199032.08,65
"187",198976.05,65
"188",198926.75,66
"189",198925.81,67
"190",198520.31,67
"191",198298.62,67
"192",198082.03,67
"193",197678.03,68
"194",196739.14,68
"195",195869.2,68
"196",195479.3,68
"197",195312.94,68
"198",195085.08,68
"199",194972.16,68
"200",194925.28,69
"201",194820.14,70
"202",194600.88,70
"203",194254.64,71
"204",194166.95,72
"205",193669.73,72
"206",193203.83,72
"207",192984.72,72
"208",192692.84,72
"209",192659.94,72
"210",192581.95,72
"211",192021.72,72
"212",191998.27,72
"213",191627.38,72
"214",191622.62,72
"215",191418.34,72
"216",191120.12,73
"217",190909.42,73
"218",190796.23,74
"219",190425.95,74
"220",190302.81,74
"221",190214.58,74
"222",189159.95,74
"223",188698.95,74
"224",188563.64,75
"225",188241.42,75
"226",188239.53,75
"227",188162.61,75
"228",187837.28,76
"229",187806.95,76
"230",187477.89,76
"231",187470.8,76
"232",187431.31,76
"233",187369.33,77
"234",187296.25,78
"235",187178.45,78
"236",187026.84,79
"237",186853.47,79
"238",186760.94,79
"239",186591.03,80
"240",185867.3,80
"241",185685.16,81
"242",185440.08,81
"243",185200.5,81
"244",185200.2,82
"245",185096.34,83
"246",185064.78,83
"247",184967.75,84
"248",184774.22,85
"249",184602.94,86
"250",184317.11,87
