"","cutoff_index","TP_ALL"
"1",8.1179005e+22,6020
"2",9.691367e+21,6020
"3",7.499395e+21,6020
"4",5.183205e+21,6020
"5",1.8600242e+21,6020
"6",6.058559e+20,6020
"7",3.3461956e+20,6020
"8",7.761733e+19,6020
"9",5.494795e+19,6020
"10",4.755074e+19,6020
"11",4.5287543e+19,6020
"12",2.686268e+19,6020
"13",2.024063e+19,6019
"14",1.5670835e+19,6019
"15",1.2497967e+19,6019
"16",6.105799e+18,6018
"17",5.8026754e+18,6018
"18",4.9882457e+18,6018
"19",4.2208322e+18,6018
"20",4.0620127e+18,6018
"21",3.908667e+18,6017
"22",2.2406293e+18,6017
"23",1.5115469e+18,6017
"24",9.5214566e+17,6016
"25",8.2964275e+17,6016
"26",3.952166e+17,6015
"27",3.8909576e+17,6015
"28",3.252686e+17,6014
"29",2.3574969e+17,6014
"30",2.250325e+17,6013
"31",2.184096e+17,6013
"32",2.141099e+17,6012
"33",1.1578798e+17,6012
"34",1.0698747e+17,6012
"35",1.064357e+17,6011
"36",8.694603e+16,6011
"37",8.679828e+16,6011
"38",4.226125e+16,6011
"39",3.676116e+16,6011
"40",1.8420425e+16,6010
"41",1.5049875e+16,6009
"42",1.3543494e+16,6009
"43",1.346776e+16,6009
"44",1.3381692e+16,6008
"45",1.0942994e+16,6007
"46",9.221895e+15,6006
"47",8.694108e+15,6006
"48",8.2999207e+15,6005
"49",7.3209344e+15,6004
"50",5.6535116e+15,6003
"51",5.5008647e+15,6002
"52",5.415041e+15,6001
"53",5.4117715e+15,6001
"54",5.360442e+15,6001
"55",5.236408e+15,6001
"56",5.1226397e+15,6001
"57",5.0755497e+15,6000
"58",4.956888e+15,5999
"59",4.8019984e+15,5998
"60",4.7601284e+15,5997
"61",4.526957e+15,5996
"62",4.0246243e+15,5996
"63",3.8064942e+15,5996
"64",3.7962193e+15,5995
"65",3.3554478e+15,5995
"66",3.2418896e+15,5994
"67",3.146366e+15,5993
"68",3.1104432e+15,5992
"69",3.0855936e+15,5991
"70",3.0459355e+15,5990
"71",3.0351844e+15,5989
"72",2.778088e+15,5989
"73",2.4247305e+15,5988
"74",2.3685244e+15,5988
"75",1.9533843e+15,5987
"76",1.8674103e+15,5986
"77",1.8317358e+15,5985
"78",1.5236634e+15,5984
"79",1.4791693e+15,5983
"80",1.3916093e+15,5982
"81",1.3795984e+15,5982
"82",1.2461213e+15,5981
"83",1.2113276e+15,5981
"84",1.1692313e+15,5981
"85",1.1629635e+15,5981
"86",1.1199581e+15,5981
"87",1.07953996e+15,5981
"88",1.0599267e+15,5980
"89",1.05466646e+15,5979
"90",1.03094496e+15,5978
"91",1.0052478e+15,5978
"92",9.689449e+14,5977
"93",9.581267e+14,5977
"94",8.834842e+14,5976
"95",8.7768066e+14,5975
"96",8.738015e+14,5975
"97",8.388871e+14,5975
"98",7.6594185e+14,5974
"99",7.596689e+14,5974
"100",7.3695525e+14,5973
"101",6.787007e+14,5972
"102",6.61276e+14,5972
"103",6.5841553e+14,5971
"104",6.3298906e+14,5970
"105",5.9194816e+14,5970
"106",5.1572706e+14,5970
"107",4.692266e+14,5969
"108",4.361442e+14,5968
"109",4.3339965e+14,5968
"110",4.3000582e+14,5967
"111",4.1091254e+14,5967
"112",4.092963e+14,5966
"113",4.0420897e+14,5966
"114",3.9461025e+14,5966
"115",3.7018467e+14,5966
"116",3.619708e+14,5965
"117",3.6196276e+14,5964
"118",3.491478e+14,5963
"119",3.4153056e+14,5962
"120",3.264031e+14,5961
"121",3.1301957e+14,5960
"122",3.0000568e+14,5960
"123",2.9866102e+14,5959
"124",2.9684784e+14,5959
"125",2.9625943e+14,5959
"126",2.9059433e+14,5958
"127",2.7578638e+14,5958
"128",2.752978e+14,5958
"129",2.7477849e+14,5957
"130",2.7061363e+14,5956
"131",2.633591e+14,5955
"132",2.6034154e+14,5955
"133",2.527933e+14,5954
"134",2.5217394e+14,5953
"135",2.3964069e+14,5952
"136",2.325659e+14,5951
"137",2.2294677e+14,5951
"138",2.2031092e+14,5951
"139",2.1667476e+14,5950
"140",2.0201194e+14,5949
"141",2.0093417e+14,5949
"142",1.9351604e+14,5948
"143",1.9140797e+14,5947
"144",1.8867142e+14,5946
"145",1.8585837e+14,5946
"146",1.7708217e+14,5945
"147",1.6972122e+14,5944
"148",1.6899906e+14,5943
"149",1.6534956e+14,5942
"150",1.6203475e+14,5942
"151",1.4940529e+14,5942
"152",1.4050316e+14,5941
"153",1.38042614e+14,5940
"154",1.3612933e+14,5939
"155",1.3522848e+14,5938
"156",1.3493922e+14,5937
"157",1.33689564e+14,5936
"158",1.22118646e+14,5936
"159",1.1360624e+14,5936
"160",1.1249392e+14,5935
"161",1.12032385e+14,5934
"162",1.1189624e+14,5933
"163",1.1005748e+14,5932
"164",1.0989117e+14,5931
"165",1.0771163e+14,5931
"166",9.387892e+13,5930
"167",9.359437e+13,5930
"168",9.072759e+13,5929
"169",8.530876e+13,5929
"170",8.366485e+13,5928
"171",8.175939e+13,5927
"172",7.762044e+13,5926
"173",7.686648e+13,5925
"174",7.5621565e+13,5924
"175",7.464257e+13,5924
"176",7.346806e+13,5924
"177",7.235354e+13,5923
"178",7.119699e+13,5922
"179",7.0553914e+13,5922
"180",6.9529984e+13,5921
"181",6.679823e+13,5921
"182",6.5044704e+13,5921
"183",6.4317488e+13,5920
"184",6.417416e+13,5920
"185",6.2137217e+13,5919
"186",6.1061747e+13,5918
"187",5.980978e+13,5918
"188",5.8078095e+13,5917
"189",5.6378303e+13,5916
"190",5.246255e+13,5915
"191",5.202467e+13,5914
"192",4.941695e+13,5913
"193",4.7598338e+13,5912
"194",4.728967e+13,5911
"195",4.650947e+13,5911
"196",4.6168306e+13,5910
"197",4.5225913e+13,5909
"198",4.5066026e+13,5908
"199",4.4215887e+13,5907
"200",4.404472e+13,5906
"201",4.371659e+13,5905
"202",4.2112372e+13,5904
"203",4.209321e+13,5904
"204",4.1137478e+13,5903
"205",4.0810695e+13,5902
"206",3.881561e+13,5901
"207",3.874679e+13,5900
"208",3.870661e+13,5899
"209",3.6569956e+13,5898
"210",3.5200872e+13,5897
"211",3.503561e+13,5897
"212",3.4703384e+13,5896
"213",3.4646205e+13,5895
"214",3.321192e+13,5894
"215",3.309803e+13,5893
"216",2.9771721e+13,5892
"217",2.9155008e+13,5892
"218",2.8978748e+13,5892
"219",2.8887556e+13,5892
"220",2.7827636e+13,5891
"221",2.6786335e+13,5890
"222",2.5868542e+13,5889
"223",2.5111023e+13,5888
"224",2.4476882e+13,5887
"225",2.3383849e+13,5887
"226",2.3150499e+13,5887
"227",2.3030898e+13,5887
"228",2.1666036e+13,5886
"229",2.1368033e+13,5886
"230",2.110889e+13,5885
"231",2.0934512e+13,5884
"232",2.0587083e+13,5883
"233",2.0062698e+13,5883
"234",1.9729234e+13,5882
"235",1.861127e+13,5881
"236",1.8583147e+13,5880
"237",1.7605933e+13,5879
"238",1.7590385e+13,5878
"239",1.7407736e+13,5877
"240",1.7339318e+13,5876
"241",1.708897e+13,5875
"242",1.6621375e+13,5875
"243",1.6353791e+13,5875
"244",1.6236797e+13,5874
"245",1.5937244e+13,5873
"246",1.5844611e+13,5872
"247",1.5545679e+13,5872
"248",1.5321484e+13,5871
"249",1.4327955e+13,5870
"250",1.4164765e+13,5869
"251",1.3927286e+13,5868
"252",1.3889214e+13,5867
"253",1.3111742e+13,5867
"254",1.2954719e+13,5867
"255",1.2913705e+13,5866
"256",1.2004937e+13,5865
"257",1.1774345e+13,5864
"258",1.1772807e+13,5863
"259",1.1686476e+13,5862
"260",1.1482146e+13,5862
"261",1.130087e+13,5861
"262",1.0791753e+13,5860
"263",1.0272882e+13,5859
"264",1.0201143e+13,5859
"265",9.88957e+12,5858
"266",9.778902e+12,5857
"267",9.442836e+12,5856
"268",9.353322e+12,5856
"269",9.311064e+12,5855
"270",9.098258e+12,5854
"271",9.07739e+12,5853
"272",9.077063e+12,5852
"273",8476053500000,5852
"274",8.426853e+12,5852
"275",8.09531e+12,5851
"276",8011496600000,5850
"277",7.740907e+12,5849
