"","cutoff_index","TP_ALL"
"1",664925.25,6020
"2",634424.56,6020
"3",527634.4,6019
"4",520531.03,6019
"5",511706.84,6019
"6",485895.72,6019
"7",484550.22,6019
"8",479493.56,6019
"9",474458.9,6019
"10",460963.75,6019
"11",445522.3,6019
"12",431258.12,6019
"13",428027.3,6019
"14",424024.9,6018
"15",408560.38,6018
"16",387269.25,6018
"17",383942.4,6018
"18",376895.4,6017
"19",375776.56,6016
"20",362584.25,6015
"21",361111.75,6014
"22",358817.28,6013
"23",356435.97,6013
"24",354955.12,6012
"25",352460.22,6011
"26",347864.34,6010
"27",346549.47,6009
"28",345734.62,6008
"29",345580,6007
"30",343547.44,6006
"31",342879.84,6005
"32",339529.97,6005
"33",339066.22,6004
"34",329724,6003
"35",325300.6,6003
"36",324192.47,6002
"37",318455.44,6002
"38",316795,6001
"39",313734.47,6000
"40",312698.2,5999
"41",311489.1,5999
"42",311351.28,5998
"43",310778.38,5998
"44",310074.06,5998
"45",308293.66,5998
"46",300140.62,5998
"47",299249.47,5997
"48",296440.94,5997
"49",294464.44,5997
"50",293212.78,5997
"51",293159.5,5996
"52",290365.25,5995
"53",290238.72,5994
"54",288737.66,5993
"55",287828.03,5993
"56",286595.3,5993
"57",284660.88,5992
"58",283458.3,5991
"59",283132.47,5991
"60",281692.88,5990
"61",279900.2,5989
"62",278276.4,5989
"63",268237.4,5989
"64",267820.2,5988
"65",267386.3,5987
"66",267272.5,5987
"67",266725.4,5986
"68",264766.62,5986
"69",262256.78,5985
"70",259155.2,5985
"71",258999.92,5984
"72",258183.06,5983
"73",257809.95,5982
"74",256557.69,5982
"75",256540,5981
"76",256397.31,5981
"77",255326.7,5980
"78",254447.4,5979
"79",253535.97,5978
"80",251704.36,5977
"81",251383.58,5976
"82",250979.53,5975
"83",250791.55,5975
"84",250571.97,5974
"85",249955.78,5973
"86",249936.78,5972
"87",248295.47,5971
"88",248163.62,5970
"89",248109.25,5969
"90",247997.45,5968
"91",247969.38,5967
"92",247454.67,5966
"93",246471.78,5966
"94",246051.95,5965
"95",245598.75,5964
"96",245179.39,5963
"97",244289.66,5962
"98",244039.12,5961
"99",243654.98,5960
"100",243478.6,5959
"101",243420.73,5958
"102",242847.97,5958
"103",241774.16,5957
"104",241130.72,5957
"105",240763.86,5956
"106",240743.34,5955
"107",237853.94,5954
"108",237807.03,5954
"109",237606.94,5953
"110",236691.06,5953
"111",236678.9,5953
"112",236392.88,5952
"113",236231.72,5951
"114",234523.03,5950
"115",233805.02,5949
"116",233338.97,5948
"117",233308.66,5947
"118",232999.75,5946
"119",232945.16,5945
"120",231400.25,5945
"121",231356.02,5944
"122",230528.72,5943
"123",229677.67,5942
"124",229524.3,5941
"125",229077.28,5940
"126",228408.44,5939
"127",228205.56,5938
"128",227351.39,5937
"129",226431.69,5936
"130",226026.47,5935
"131",225679.34,5934
"132",224716.36,5933
"133",223642.56,5933
"134",223569.47,5933
"135",223094.53,5932
"136",222984.3,5931
"137",222053.75,5930
"138",221991.53,5929
"139",221327.6,5928
"140",221324.5,5927
"141",221018.44,5926
"142",220991.64,5925
"143",220974.53,5925
"144",220641.52,5925
"145",220548.4,5924
"146",220165.98,5923
"147",219809.1,5923
"148",219588.34,5923
"149",218844.66,5923
"150",217955.5,5923
"151",217486.94,5922
"152",216513.61,5921
"153",216496.88,5920
"154",216118.3,5919
"155",216098.31,5918
"156",216060.62,5917
"157",215193.56,5917
"158",214905.11,5916
"159",214669.08,5916
"160",214443.94,5915
"161",213946.6,5914
"162",213914.38,5913
"163",213463.16,5912
"164",213233.47,5911
"165",212824.12,5911
"166",211018.44,5911
"167",210779.97,5910
"168",210091.22,5910
"169",209917,5910
"170",209685.38,5909
"171",209631.7,5908
"172",209051,5907
"173",208782.52,5906
"174",208748.67,5905
"175",206979.44,5904
"176",206411.5,5904
"177",205803.17,5903
"178",205289.78,5903
"179",204683.92,5902
"180",203675.17,5901
"181",203382.05,5901
"182",202721.8,5901
"183",201910.8,5901
"184",200147.92,5900
